;;Microsoft Windows 7 Professional SP1 x64;1 Core 1 gb RAM 20 gb HDD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Microsoft Windows Server 2012;1 core 2 gb RAM 40 gb HDD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Microsoft Windows 10 Pro x64;1 Core 2 gb RAM 20 gb HDD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ubuntu 20.04 LTS;1 Core 4 gb RAM 25 gb HDD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Перечень виртуальных машин виртуального сегмента Индустриального киберполигона;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Параметры Simple IED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;№ п/п;Наименование виртуальной машины;Название;Настройки симуляции;;;;Адрес РЗА;Адрес источника Goose;Адрес назвачения;Адрес назвачения;Прием goose состояния;Название архива;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Напряжение;Токи;cos;Уставка;Private IP;MAC Source;MAC Dst Breaker;MAC Dst Trip;Breaker State MAC;Tag;Ansible Deploy/Setup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ГРУППА 1. Восточная ПС 4 192.168.204.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;Виртуальный терминал РЗА №1_ПС1;РЗА В-1 500 ПС3;500000;92;0,98;111;192.168.201.3;2C-C2-60-77-0B-01;2C-C2-60-75-0B-01;2C-C2-60-74-0B-01;-;icr-rza-n1-ps1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2;Виртуальный терминал РЗА №2_ПС1;РЗА В-2 500 ПС3;500000;107;0,98;129;192.168.201.4;2C-C2-60-77-0B-02;2C-C2-60-75-0B-02;2C-C2-60-74-0B-02;-;icr-rza-n2-ps1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;Виртуальный терминал РЗА №3_ПС1;РЗА В-3 500 ПС3;500000;90;0,98;108;192.168.201.5;2C-C2-60-77-0B-03;2C-C2-60-75-0B-03;2C-C2-60-74-0B-03;-;icr-rza-n3-ps1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;Виртуальный терминал РЗА №4_ПС1;РЗА В-1 500 ПС2;500000;120;0,98;144;192.168.201.6;2C-C2-60-77-0B-04;2C-C2-60-75-0B-04;2C-C2-60-74-0B-04;-;icr-rza-n4-ps1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;Виртуальный терминал РЗА №5_ПС1;РЗА В-2 500 ПС2;500000;101;0,98;122;192.168.201.7;2C-C2-60-77-0B-05;2C-C2-60-75-0B-05;2C-C2-60-74-0B-05;-;icr-rza-n5-ps1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;Виртуальный терминал РЗА №6_ПС1;РЗА В-3 500 ПС2;500000;130;0,98;156;192.168.201.8;2C-C2-60-77-0B-06;2C-C2-60-75-0B-06;2C-C2-60-74-0B-06;-;icr-rza-n6-ps1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;Виртуальный терминал РЗА №7_ПС1;РЗА В-1 500 Энергоситема 1;500000;124;0,98;149;192.168.201.9;2C-C2-60-77-0B-07;2C-C2-60-75-0B-07;2C-C2-60-74-0B-07;-;icr-rza-n7-ps1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;Виртуальный терминал РЗА №8_ПС1;РЗА В-2 500 Энергоситема 2;500000;140;0,98;168;192.168.201.10;2C-C2-60-77-0B-08;2C-C2-60-75-0B-08;2C-C2-60-74-0B-08;-;icr-rza-n8-ps1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;9;Виртуальный терминал РЗА №9_ПС1;РЗА В-3 500 Энергоситема 3;500000;80;0,98;96;192.168.201.21;2C-C2-60-77-0B-09;2C-C2-60-75-0B-09;2C-C2-60-74-0B-09;-;icr-rza-n9-ps1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10;Виртуальный терминал РЗА №1_ПС2;РЗА В-1 500 ПС3;500000;92;0,98;111;192.168.202.3;2C-C2-60-77-0C-01;2C-C2-60-75-0C-01;2C-C2-60-74-0C-01;-;icr-rza-n1-ps2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;Виртуальный терминал РЗА №2_ПС2;РЗА В-2 500 ПС3;500000;107;0,98;129;192.168.202.4;2C-C2-60-77-0C-02;2C-C2-60-75-0C-02;2C-C2-60-74-0C-02;-;icr-rza-n2-ps2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12;Виртуальный терминал РЗА №3_ПС2;РЗА В-3 500 ПС3;500000;90;0,98;108;192.168.202.5;2C-C2-60-77-0C-03;2C-C2-60-75-0C-03;2C-C2-60-74-0C-03;-;icr-rza-n3-ps2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13;Виртуальный терминал РЗА №4_ПС2;РЗА В-1 500 ПС1;500000;120;0,98;144;192.168.202.6;2C-C2-60-77-0C-04;2C-C2-60-75-0C-04;2C-C2-60-74-0C-04;-;icr-rza-n4-ps2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;14;Виртуальный терминал РЗА №5_ПС2;РЗА В-2 500 ПС1;500000;101;0,98;122;192.168.202.7;2C-C2-60-77-0C-05;2C-C2-60-75-0C-05;2C-C2-60-74-0C-05;-;icr-rza-n5-ps2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
